¦¤mBi,¦¤mW,¦¤mO
-3.40586716,-8.885673322,-0.022098726
-3.395977694,-8.905837246,-0.022034561
-3.386088227,-8.92600117,-0.021970396
-3.376198761,-8.946165095,-0.021906231
-3.366309294,-8.966329019,-0.021842065
-3.356419828,-8.986492943,-0.0217779
-3.346530361,-9.006656867,-0.021713735
-3.336640895,-9.026820792,-0.02164957
-3.326751429,-9.046984716,-0.021585404
-3.316861962,-9.06714864,-0.021521239
-3.306972496,-9.087312565,-0.021457074
-3.297083029,-9.107476489,-0.021392909
-3.287193563,-9.127640413,-0.021328744
-3.277304096,-9.147804337,-0.021264578
-3.26741463,-9.167968262,-0.021200413
-3.257525164,-9.188132186,-0.021136248
-3.247635697,-9.20829611,-0.021072083
-3.237746231,-9.228460034,-0.021007917
-3.227856764,-9.248623959,-0.020943752
-3.217967298,-9.268787883,-0.020879587
-3.208077831,-9.288951807,-0.020815422
-3.198188365,-9.309115731,-0.020751256
-3.188298898,-9.329279656,-0.020687091
-3.178409432,-9.34944358,-0.020622926
-3.168519966,-9.369607504,-0.020558761
-3.158630499,-9.389771429,-0.020494596
-3.148741033,-9.409935353,-0.02043043
-3.138851566,-9.430099277,-0.020366265
-3.1289621,-9.450263201,-0.0203021
-3.119072633,-9.470427126,-0.020237935
-3.109183167,-9.49059105,-0.020173769
-3.099293701,-9.510754974,-0.020109604
-3.089404234,-9.530918898,-0.020045439
-3.079514768,-9.551082823,-0.019981274
-3.069625301,-9.571246747,-0.019917108
-3.059735835,-9.591410671,-0.019852943
-3.049846368,-9.611574596,-0.019788778
-3.039956902,-9.63173852,-0.019724613
-3.030067435,-9.651902444,-0.019660448
-3.020177969,-9.672066368,-0.019596282
-3.010288503,-9.692230293,-0.019532117
-3.000399036,-9.712394217,-0.019467952
-2.99050957,-9.732558141,-0.019403787
-2.980620103,-9.752722065,-0.019339621
-2.970730637,-9.77288599,-0.019275456
-2.96084117,-9.793049914,-0.019211291
-2.950951704,-9.813213838,-0.019147126
-2.941062238,-9.833377762,-0.01908296
-2.931172771,-9.853541687,-0.019018795
-2.921283305,-9.873705611,-0.01895463
-2.911393838,-9.893869535,-0.018890465
-2.901504372,-9.91403346,-0.018826299
-2.891614905,-9.934197384,-0.018762134
-2.881725439,-9.954361308,-0.018697969
-2.871835972,-9.974525232,-0.018633804
-2.861946506,-9.994689157,-0.018569639
-3.407445783,-8.848886747,-0.027703614
-3.397580379,-8.869098795,-0.027623408
-3.387714974,-8.889310843,-0.027543201
-3.37784957,-8.909522892,-0.027462995
-3.367984165,-8.92973494,-0.027382788
-3.358118761,-8.949946988,-0.027302582
-3.348253356,-8.970159036,-0.027222375
-3.338387952,-8.990371084,-0.027142169
-3.328522547,-9.010583133,-0.027061962
-3.318657143,-9.030795181,-0.026981756
-3.308791738,-9.051007229,-0.026901549
-3.298926334,-9.071219277,-0.026821343
-3.289060929,-9.091431325,-0.026741136
-3.279195525,-9.111643373,-0.026660929
-3.26933012,-9.131855422,-0.026580723
-3.259464716,-9.15206747,-0.026500516
-3.249599312,-9.172279518,-0.02642031
-3.239733907,-9.192491566,-0.026340103
-3.229868503,-9.212703614,-0.026259897
-3.220003098,-9.232915663,-0.02617969
-3.210137694,-9.253127711,-0.026099484
-3.200272289,-9.273339759,-0.026019277
-3.190406885,-9.293551807,-0.025939071
-3.18054148,-9.313763855,-0.025858864
-3.170676076,-9.333975904,-0.025778657
-3.160810671,-9.354187952,-0.025698451
-3.150945267,-9.3744,-0.025618244
-3.141079862,-9.394612048,-0.025538038
-3.131214458,-9.414824096,-0.025457831
-3.121349053,-9.435036145,-0.025377625
-3.111483649,-9.455248193,-0.025297418
-3.101618244,-9.475460241,-0.025217212
-3.09175284,-9.495672289,-0.025137005
-3.081887435,-9.515884337,-0.025056799
-3.072022031,-9.536096386,-0.024976592
-3.062156627,-9.556308434,-0.024896386
-3.052291222,-9.576520482,-0.024816179
-3.042425818,-9.59673253,-0.024735972
-3.032560413,-9.616944578,-0.024655766
-3.022695009,-9.637156627,-0.024575559
-3.012829604,-9.657368675,-0.024495353
-3.0029642,-9.677580723,-0.024415146
-2.993098795,-9.697792771,-0.02433494
-2.983233391,-9.718004819,-0.024254733
-2.973367986,-9.738216867,-0.024174527
-2.963502582,-9.758428916,-0.02409432
-2.953637177,-9.778640964,-0.024014114
-2.943771773,-9.798853012,-0.023933907
-2.933906368,-9.81906506,-0.023853701
-2.924040964,-9.839277108,-0.023773494
-2.914175559,-9.859489157,-0.023693287
-2.904310155,-9.879701205,-0.023613081
-2.89444475,-9.899913253,-0.023532874
-2.884579346,-9.920125301,-0.023452668
-2.874713941,-9.940337349,-0.023372461
-2.864848537,-9.960549398,-0.023292255
-2.854983133,-9.980761446,-0.023212048
-3.39913494,-8.832264096,-0.033244337
-3.389293597,-8.852524269,-0.03314809
-3.379452255,-8.872784441,-0.033051842
-3.369610912,-8.893044613,-0.032955594
-3.35976957,-8.913304785,-0.032859346
-3.349928227,-8.933564957,-0.032763098
-3.340086885,-8.953825129,-0.03266685
-3.330245542,-8.974085301,-0.032570602
-3.3204042,-8.994345473,-0.032474355
-3.310562857,-9.014605645,-0.032378107
-3.300721515,-9.034865818,-0.032281859
